 rm |      A_hex |                A_dec |                 A_fields ||      B_hex |                B_dec |                 B_fields ||    Out_hex |              Out_dec |               Out_fields |    Ref_hex |              Ref_dec |               Ref_fields | RESULT
010 | 0xCE821B17 |        -1091406720.0 |  s=0x1 e=0x9D m=0x021B17 || 0x959DDB7C | -6.375808029077455e-26 |  s=0x1 e=0x2B m=0x1DDB7C || 0xCE821B17 |        -1091406720.0 |  s=0x1 e=0x9D m=0x021B17 | 0xCE821B18 |        -1091406848.0 |  s=0x1 e=0x9D m=0x021B18 |   FAIL
001 | 0x781236A9 | 1.1862249703502296e+34 |  s=0x0 e=0xF0 m=0x1236A9 || 0x96EDB07C | -3.8400792372311274e-25 |  s=0x1 e=0x2D m=0x6DB07C || 0x781236A9 | 1.1862249703502296e+34 |  s=0x0 e=0xF0 m=0x1236A9 | 0x781236A8 | 1.1862248465562257e+34 |  s=0x0 e=0xF0 m=0x1236A8 |   FAIL
001 | 0xE4EE0596 | -3.5125820790076556e+22 |  s=0x1 e=0xC9 m=0x6E0596 || 0x8A0053BC | -6.178724507604296e-33 |  s=0x1 e=0x14 m=0x0053BC || 0xE4EE0596 | -3.5125820790076556e+22 |  s=0x1 e=0xC9 m=0x6E0596 | 0xE4EE0596 | -3.5125820790076556e+22 |  s=0x1 e=0xC9 m=0x6E0596 |   PASS
011 | 0x8469165F | -2.739929067662994e-36 |  s=0x1 e=0x08 m=0x69165F || 0x9145BDF1 | -1.5599090047570076e-28 |  s=0x1 e=0x22 m=0x45BDF1 || 0x9145BDF1 | -1.5599090047570076e-28 |  s=0x1 e=0x22 m=0x45BDF1 | 0x9145BDF1 | -1.5599090047570076e-28 |  s=0x1 e=0x22 m=0x45BDF1 |   PASS
001 | 0xB3AFD422 | -8.187659261693625e-08 |  s=0x1 e=0x67 m=0x2FD422 || 0x70821530 | 3.2206932314062355e+29 |  s=0x0 e=0xE1 m=0x021530 || 0x70821530 | 3.2206932314062355e+29 |  s=0x0 e=0xE1 m=0x021530 | 0x7082152F | 3.220692853616917e+29 |  s=0x0 e=0xE1 m=0x02152F |   FAIL
000 | 0x64698A1F | 1.723217617150335e+22 |  s=0x0 e=0xC8 m=0x698A1F || 0x3A106914 | 0.0005508821923285723 |  s=0x0 e=0x74 m=0x106914 || 0x64698A1F | 1.723217617150335e+22 |  s=0x0 e=0xC8 m=0x698A1F | 0x64698A1F | 1.723217617150335e+22 |  s=0x0 e=0xC8 m=0x698A1F |   PASS
001 | 0x805832BB | -8.099722325059413e-39 |  s=0x1 e=0x00 m=0x5832BB || 0x6269B423 | 1.0777678969313344e+21 |  s=0x0 e=0xC4 m=0x69B423 || 0x6269B423 | 1.0777678969313344e+21 |  s=0x0 e=0xC4 m=0x69B423 | 0x6269B422 | 1.0777678265625902e+21 |  s=0x0 e=0xC4 m=0x69B422 |   FAIL
011 | 0x04545EC2 | 2.4963990891061412e-36 |  s=0x0 e=0x08 m=0x545EC2 || 0x71BCFBC2 | 1.8716012277194823e+30 |  s=0x0 e=0xE3 m=0x3CFBC2 || 0x71BCFBC2 | 1.8716012277194823e+30 |  s=0x0 e=0xE3 m=0x3CFBC2 | 0x71BCFBC3 | 1.8716013788352097e+30 |  s=0x0 e=0xE3 m=0x3CFBC3 |   FAIL
001 | 0x333E0D49 | 4.424990507345683e-08 |  s=0x0 e=0x66 m=0x3E0D49 || 0x24E1D0EC | 9.793212294674969e-17 |  s=0x0 e=0x49 m=0x61D0EC || 0x333E0D49 | 4.424990507345683e-08 |  s=0x0 e=0x66 m=0x3E0D49 | 0x333E0D49 | 4.424990507345683e-08 |  s=0x0 e=0x66 m=0x3E0D49 |   PASS
100 | 0x5D3EC478 | 8.591402440023081e+17 |  s=0x0 e=0xBA m=0x3EC478 || 0x5A755274 | 1.7263006865948672e+16 |  s=0x0 e=0xB4 m=0x755274 || 0x5D4299C1 | 8.764031950336819e+17 |  s=0x0 e=0xBA m=0x4299C1 | 0x5D4299C2 | 8.764032637531587e+17 |  s=0x0 e=0xBA m=0x4299C2 |   FAIL
